,0
p999_rm,0.09274028670861907
warm_px,0.08785529767686356
core_energy,0.07881349520797971
peak_rm,0.07669409259952821
core_px_rm,0.06692482843093889
core_aspect_rs,0.04370279149542791
tail_px_rm,0.04044744538908
asym_rs,0.03709564720787271
warm_px_rm,0.034299325446658986
asym_rm,0.03182126812106995
core_px_rs,0.03174421356720366
core_energy_rs,0.031224336627803394
core_energy_rm,0.029388845580601237
tail_px,0.028948396324731944
asym,0.024695644574946735
core_aspect,0.02410691878498885
tail_px_rs,0.023756075061515575
core_px,0.020976802883170886
bg_rm,0.019964817621348132
p999_rs,0.0182462840325305
core_aspect_rm,0.017895904826422133
warm_px_rs,0.017818686400064333
bg_rs,0.01778072037598443
core_cols_rm,0.017767683094481918
p999,0.013921379947321623
peak,0.01373076437141502
core_cols_rs,0.013460767795431471
peak_rs,0.009398005148119231
bg,0.008341659150371532
core_rows_rs,0.00725367548994101
core_rows_rm,0.006503623633722762
core_rows,0.006473044773852123
core_cols,0.006207271649992478
